iter	Logloss
0	0.6711167895
1	0.6583568
2	0.6482607194
3	0.6360209733
4	0.6224442013
5	0.6132065518
6	0.603897768
7	0.5961746665
8	0.5898687614
9	0.5829833002
10	0.5754938292
11	0.5661333601
12	0.5597149285
13	0.5547159761
14	0.547506979
15	0.5438466119
16	0.5392320024
17	0.5351933246
18	0.5330404143
19	0.5304321837
20	0.5256012376
21	0.5220972048
22	0.5204708362
23	0.516758419
24	0.5115935833
25	0.5086443229
26	0.5030629573
27	0.5007573944
28	0.4961025876
29	0.4931228159
30	0.492386959
31	0.4906532949
32	0.4878454148
33	0.485240457
34	0.4825629214
35	0.47876506
36	0.476586013
37	0.4706727258
38	0.4682766947
39	0.4663248107
40	0.461463262
41	0.4579649791
42	0.4565093277
43	0.4552294529
44	0.4527466031
45	0.4505883047
46	0.4478893919
47	0.4449341333
48	0.4432696945
49	0.4418233533
50	0.4397356354
51	0.4365734069
52	0.4340498217
53	0.4332931182
54	0.4303930158
55	0.4279344748
56	0.4253750661
57	0.4230544379
58	0.4207324527
59	0.4192615036
60	0.4158185135
61	0.4121563028
62	0.4098965132
63	0.4074659541
64	0.4032756513
65	0.4015701881
66	0.4000329534
67	0.3985622268
68	0.3947086162
69	0.3918351152
70	0.3902049144
71	0.3870920152
72	0.385434196
73	0.3824122648
74	0.3818251166
75	0.379877425
76	0.3781518955
77	0.3760312912
78	0.3740496638
79	0.3713999486
80	0.3679648658
81	0.3650330487
82	0.3641198165
83	0.3618552931
84	0.3582040463
85	0.3560779114
86	0.3525492312
87	0.3507518908
88	0.349210002
89	0.3476774611
90	0.3424111057
91	0.3391495991
92	0.3369283627
93	0.3324198466
94	0.3270845249
95	0.3232573141
96	0.3198902749
97	0.3178194449
98	0.3159838894
99	0.3121137947
