iter	Passed	Remaining
0	176	17452
1	179	8779
2	182	5888
3	185	4444
4	188	3585
5	192	3012
6	195	2595
7	198	2283
8	202	2045
9	205	1851
10	208	1690
11	212	1555
12	215	1441
13	219	1345
14	223	1263
15	226	1189
16	230	1124
17	234	1067
18	238	1015
19	241	967
20	245	923
21	249	883
22	252	846
23	256	811
24	260	780
25	263	750
26	267	723
27	271	697
28	274	673
29	278	649
30	281	627
31	285	606
32	288	586
33	292	567
34	295	549
35	299	532
36	303	515
37	306	500
38	310	486
39	314	471
40	318	457
41	321	444
42	325	431
43	328	418
44	332	406
45	335	394
46	339	382
47	342	371
48	346	360
49	349	349
50	353	339
51	356	328
52	359	319
53	362	309
54	366	300
55	370	290
56	373	282
57	377	273
58	380	264
59	384	256
60	387	247
61	390	239
62	394	231
63	397	223
64	401	216
65	404	208
66	408	200
67	411	193
68	415	186
69	418	179
70	422	172
71	425	165
72	428	158
73	432	151
74	435	145
75	438	138
76	442	132
77	445	125
78	449	119
79	452	113
80	456	107
81	460	101
82	464	95
83	468	89
84	471	83
85	475	77
86	479	71
87	482	65
88	486	60
89	490	54
90	493	48
91	497	43
92	501	37
93	505	32
94	509	26
95	512	21
96	516	15
97	519	10
98	523	5
99	526	0
